text,priority,is_functional
อยากให้มีการคำนึงถึงความสามารถของร้านค้า ที่มีคนทำน้อยและคิวเผื่อถึงคนที่อยู่หน้าร้านที่เข้าทำเรื่อย ๆ กับคนที่สั่ง,1,0
มีเมนูแนะนำประจำวัน มีแนะนำส่วนลดพิเศษประจำแต่ละร้าน,0,1
มีการบอกอาหารคิวต่อไปที่กำลังจะทำจำนวนคิวที่ต้องรอ/มีคิวปัจจุบันกี่คิว สั่งล่วงหน้าได้ก่อน 3ชั่วโมง,2,0
บอกความหนาแน่นของโรงอาหารได้,1,1
สั่งอาหารแล้วสามารถรอในตึกหรือนอกโรงอาหาร เสร็จแล้วค่อยไปรับเพราะอึดอัด ร้อน,0,1
สามารถบอกเวลาที่คาดว่าจะได้รับอาหารหลังจองคิว,2,0
มีความชัดเจนในเรื่อง เมนูและราคา,1,1
แอพใช้งานง่าย สะดวก,1,0
มีเมนูอาหารให้ดู,1,1
ควรกำหนดเวลาไปรับอาหาร ไม่งั้นคนจะสั่งทิ้งไว้นาน,2,1
ไม่เอาbannerสีแดงเลือด,1,0
ต้องการให้กลับไปที่หน้าแรกได้,2,0
ควรจะทำให้ล็อคอินจากตรงนี้ได้,1,1
มีคนตัวจิ๋วเดินอยู่ระหว่างโหลดด้วยก็ดีนะ,0,0
ถ้าเป็นไปได้ก็เอาให้ดูตารางข้อมูลได้,0,1
ปุ่มbackไม่อยู่ตรงกลางไม่เป็นไร,0,0
ปุ่มbackไม่อยู่ตรงกลางก็ไม่เป็นไร,0,0
ปุ่มbackไม่ได้อยู่ตรงกลางไม่เป็นไร,0,0
ปุ่มbackไม่ได้อยู่ตรงกลางก็ไม่เป็นไร,0,0
ถ้าปุ่มbackไม่อยู่ตรงกลางไม่เป็นไร,0,0
ถ้าปุ่มbackไม่อยู่ตรงกลางก็ไม่เป็นไร,0,0
ถ้าปุ่มbackไม่ได้อยู่ตรงกลางไม่เป็นไร,0,0
ถ้าปุ่มbackไม่ได้อยู่ตรงกลางก็ไม่เป็นไร,0,0
ถึงปุ่มbackไม่อยู่ตรงกลางไม่เป็นไร,0,0
ถึงปุ่มbackไม่อยู่ตรงกลางก็ไม่เป็นไร,0,0
ถึงปุ่มbackไม่ได้อยู่ตรงกลางไม่เป็นไร,0,0
ถึงปุ่มbackไม่ได้อยู่ตรงกลางก็ไม่เป็นไร,0,0
ถึงแม้ปุ่มbackไม่อยู่ตรงกลางไม่เป็นไร,0,0
ถึงแม้ปุ่มbackไม่อยู่ตรงกลางก็ไม่เป็นไร,0,0
ถึงแม้ปุ่มbackไม่ได้อยู่ตรงกลางไม่เป็นไร,0,0
ถึงแม้ปุ่มbackไม่ได้อยู่ตรงกลางก็ไม่เป็นไร,0,0
ไม่เอาสีแดงตรงช่องนี้เด็ดขาด,2,0
ไม่อยากที่จะล็อคอินซ้ำแล้วซ้ำอีก,1,1
ต้องการไปหน้าตะกร้าได้จากหน้านี้,2,1
ต้องการให้สามารถคิดเลข บวก ลบ คูณ หาร ได้,2,1
มีการเก็บcacheก็ได้ หรือไม่มีก็ได้,0,0
ควรจะใช้กับโทรศัพท์รุ่นเก่าได้,1,0
มีรูปคนตรงนี้ก็ดีนะ,0,0
ระบบลงทะเบียนสามารถส่งเมลล์ยืนยันได้ทันทีอันนี้สำคัญที่สุด,2,1
อยากให้ตรงนี้มีตัวเลือกเยอะหน่อย,1,0
ไม่เอารูปสัตว์ได้ไหม,0,0
คิดว่าให้มันอยู่ตรงกลางก็ดีนะ,0,0
ช่องเก็บเงินอยู่ทางซ้ายจะได้หยิบง่ายๆ,0,0
มีไฟสำรองก็ดีนะ,0,0
ไม่อยากได้กระดาษสีขาว,1,0
เมื่อกดปุ่มคิดเงินช่องเก็บเงินจะเด้งออกมา,2,1
ช่องเก็บเงินต้องมีตัวหนีบเงิน,1,1
ช่องเก็บเงินต้องหยิบได้ง่าย,1,0
ต้องจุน้ำได้1ลิตรแต่ต้องพับเก็บใส่กระเป๋าได้,2,1
มีระบบล็อกอิน,1,1
การล็อกอินต้องมีการยืนยันตัวตน,1,1
ไม่ยืนยันตัวตนจะใช้ระบบไม่ได้,1,1
ต้องล็อกอินค้างไว้ได้ ลูกค้าจะได้ไม่ต้องล็อกอินใหม่ทุกครั้ง เสียเวลา น่าเบื่อ,2,1
ค้นหาร้านได้,1,1
ลูกค้าจะสามารถจองได้แค่สินค้าจากร้านเดียว,2,1
ลูกค้าสามารถจองสินค้าได้หลายชิ้น,1,1
ลูกค้าต้องดูรายการจองตัวเองได้,2,1
ร้านต้องดูรายการจองที่ร้านรับมาได้,2,1
ลูกค้าสามารถยกเลิกการจองก่อนเวลาได้เท่านั้น,2,1
ร้านสามารถยกเลิกการจองของลูกค้าได้ แต่จะเสียเครดิต,1,1
ร้านสามารถเช็กว่าลูกค้ามาสายได้ หากลูกค้าไม่มารับสินค้าภายในเวลาที่กำหนด ลูกค้าจะเสียเครดิต,2,1
ร้านเพิ่มสินค้าในร้านได้,1,1
ร้านลบสินค้าในร้านได้,1,1
เป็นเว็บแอป,1,0
ต้อง responsive,1,0
อยากได้โทนสีฟ้า,1,0
ทำงานรวดเร็ว ตอบสนองลูกค้าได้เร็ว,1,0
ขอสวย ๆ มีสีสัน,1,0
ขอปรับฟอนต์ได้ เผื่อใครสายตาไม่ดี,1,1
ถ้าจะให้ดี ควรออกแบบให้ใช้ได้ทุกวัย,0,0
ไม่ใส่รูปที่ทำให้ผู้ใช้ที่เป็น arachnophobia trypophobia หรือ phobia ต่าง ๆ รู้สึกกลัว,1,0
ลูกค้าจองได้แค่สินค้าจากร้านเดียว,1,1
ลูกค้าจองสินค้าได้หลายชิ้น,1,1
ลูกค้าจะจองได้แค่สินค้าจากร้านเดียว,1,1
